                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1431,                0.65376,                0.92887,                 0.8717,                0.79138,                 0.8904,                0.60187,                 1.1023,                0.64367,                0.93146,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1622,                0.65661,                0.92942,                0.87029,                0.78671,                 0.8885,                0.59534,                 1.1133,                0.65495,                0.93221,               0.000614,               0.000614,               0.000614
                     38,                 1.1819,                0.65877,                0.92616,                0.87927,                0.77972,                0.89276,                0.59382,                 1.1109,                0.64911,                0.93282,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.1587,                0.66699,                0.92838,                0.88021,                0.77075,                0.88458,                0.58113,                  1.133,                0.67654,                0.93753,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1788,                0.67083,                 0.9329,                0.88725,                0.77959,                0.89031,                0.59533,                 1.1189,                0.65219,                0.93354,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.0679,                0.62514,                0.91989,                0.86822,                0.79371,                0.89144,                0.60375,                 1.1003,                0.63748,                0.92848,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.0941,                0.62043,                0.92837,                 0.8523,                0.79604,                0.88907,                0.59896,                 1.1008,                0.65024,                 0.9277,               0.000416,               0.000416,               0.000416
                     43,                 1.0881,                0.63174,                 0.9245,                 0.8533,                0.79319,                0.88299,                0.59516,                 1.1057,                0.65965,                0.92811,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.0651,                0.60962,                0.92448,                0.85179,                 0.7837,                0.88437,                0.59303,                 1.1118,                0.66822,                0.93083,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.0686,                0.60227,                  0.917,                0.87785,                0.76457,                0.88526,                0.59346,                 1.1109,                0.66905,                0.92939,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.0678,                0.60978,                0.91686,                0.86543,                0.78089,                 0.8848,                 0.5908,                 1.1213,                0.66622,                0.93018,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.0852,                0.61602,                0.92077,                0.86847,                0.77506,                 0.8833,                0.59239,                 1.1188,                0.66489,                0.92844,               0.000218,               0.000218,               0.000218
                     48,                 1.0617,                0.60081,                0.91702,                0.85865,                0.78438,                0.88586,                0.59875,                 1.1056,                0.65453,                0.92576,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.0507,                0.59862,                0.92216,                0.86239,                0.78322,                0.88796,                0.60046,                 1.0995,                0.64685,                0.92643,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.0847,                0.61682,                0.91537,                0.87461,                0.78555,                0.88888,                0.60153,                 1.0964,                0.63931,                0.92667,               9.92e-05,               9.92e-05,               9.92e-05
